ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 662,662,Chambers Lake Inflow,CBRI_071421,CBRI,7/14/2021,12:45,No TSS,NORM ,7.3,0.4,2,,2.63,0.21,7.11,390.19,47.26,1.79,0.03,0.67,1.12,5.88,0.07,0.53,0.19,0,2.89,0.04,0.02,0.07,0.14,390.19,0.08,293.26,92.33,77.82,17.06,1.77,3.47,14.83,2.99,0,60.21,471.69,482.32,954.01,-1.11,480.47,78.03,402.44,OK,0.26,OK,47.38,
FCW 663,663,Barnes Meadow Reservoir Outflow,BMD_071421,BMD,7/14/2021,13:02,,NORM,7.1,1.39,15,7.39,7.19,0.62,6.81,409.34,78.97,2.43,0.29,1.2,1.48,9.62,0.03,1.67,0.23,0,10.76,0.05,0.22,0.27,0.35,409.34,0.16,479.99,121.37,105.74,30.64,15.86,1.47,47.01,3.69,0,223.98,685.5,753.76,1439.26,-4.74,737.75,274.69,463.06,OK,-2.72,OK,76.82,
FCW 664,664,Barnes Meadow Reservoir,BRNR_071421,BRNR,7/14/2021,13:28,No TSS,NORM ,17.4,2.19,4.5,,7.1,0.31,7.19,467.15,80.81,2.47,0.03,1.23,1.55,9.83,0.03,1.69,0.18,0,11.8,0.04,0.02,0.06,0.24,467.15,0.06,490.37,127.22,107.4,31.56,1.61,1.68,47.79,2.94,0,245.78,765.33,758.21,1523.55,0.47,756.54,296.5,460.04,OK,-0.06,OK,80.76,
FCW 665,665,Chambers Lake,CBRR_071421,CBRR,7/14/2021,13:57,No TSS,NORM ,15.6,1.69,4,,2.89,0.19,7.21,316.75,44.45,1.44,0.03,0.68,0.97,5.48,0.06,0.44,0.14,0,3.14,0.03,0.02,0.05,0.14,316.75,0.06,273.3,79.49,62.59,17.37,1.5,3.16,12.41,2.25,0,65.44,400.01,434.31,834.33,-4.11,432.75,80.1,352.65,OK,-5.68,OK,41.93,
FCW 666,666,Chambers Lake Outflow,CHD_071421,CHD,7/14/2021,14:15,,NORM,10.7,1.29,2.5,0.73,2.57,0.19,7.05,421.53,52.25,1.83,0.02,0.94,1.17,7.15,0.06,0.49,0.17,0,3.41,0.04,0.02,0.06,0.13,421.53,0.09,356.89,96.61,79.56,24.02,1.28,3,13.87,2.82,0,71.1,512.32,558.43,1070.75,-4.31,557.07,87.78,469.28,OK,2.38,OK,53.49,
FCW 733,733,Long Draw Reservoir,LNGR_072821,LNGR,7/28/2021,9:40,,NORM,16.7,0.3,5,1.8,4.21,0.24,7.02,218.2,39.04,0.95,0.02,0.49,0.94,5.64,0.19,0.17,0.4,0,5.01,0.09,0.01,0.11,0.14,218.2,0.1,281.64,77.68,41.12,12.51,1.04,10.06,4.66,6.48,0,104.33,343.74,414.08,757.82,-9.28,412.95,115.48,297.47,OK,0,OK,39.04,
FCW 734,734,Long Draw Reservoir,LNGR_072821_DUPE,LNGR,7/28/2021,9:40,,DUPLICATE,16.7,0.31,4.5,1.55,4.67,0.24,6.88,236.02,41.31,0.93,0.04,0.54,1.05,5.99,0.17,0.21,0.42,0,5.92,0.09,0.03,0.13,0.11,236.02,0.13,298.65,86.73,40.58,13.91,2.33,9.16,6,6.76,0,123.31,381.26,442.34,823.6,-7.42,439.88,136.08,303.8,OK,3.56,OK,42.78,
FCW 735,735,Long Draw Reservoir Outflow,LNGO_072821,LNGO,7/28/2021,10:15,,NORM,12,0.54,3.5,1,5.39,0.29,6.95,232.1,42.04,0.97,0.02,0.48,1.02,5.95,0.09,0.14,0.54,0,5.78,0.12,0.02,0.14,0.15,232.1,0.11,296.66,84.02,42.28,12.33,1.23,4.68,4.07,8.76,0,120.26,369.87,436.63,806.5,-8.28,435.29,133.09,302.2,OK,0,OK,42.04,
FCW 736,736,Peterson Reservoir Outflow,PTRO_072821,PTRO,7/28/2021,10:55,,NORM,,0.17,5,0,9.11,0.53,7.02,208.61,44.99,1.68,0.06,1.29,0.82,5.85,0.01,0.74,0.02,0,6.55,0,0.05,0.05,0.48,208.61,0.1,292.02,67.65,73.21,33.07,3.38,0.58,20.96,0.36,0,136.4,366.9,469.42,836.32,-12.26,465.94,157.71,308.23,OK,-0.02,OK,44.98,
FCW 737,737,Peterson Reservoir,PTRR_072821,PTRR,7/28/2021,11:15,,NORM,,0.44,6,-1,9.62,0.46,6.92,183.99,40.5,1.63,0.08,1.08,0.73,4.73,0.03,0.72,0.01,0,6.33,0,0.07,0.07,0.39,183.99,0.12,236.23,60.32,70.94,27.67,4.66,1.69,20.36,0.2,0,131.82,338.06,399.94,738,-8.38,395.16,152.38,242.78,OK,-1.52,OK,39.89,
FCW 738,738,Joe Wright Reservoir Inflow,JOEI_072821,JOEI,7/28/2021,12:00,,NORM,,0.23,1,-2.7,5.8,0.15,7.09,398.9,53.21,1.47,0.02,0.34,1.37,7.04,0.07,0.25,0.27,0,5.98,0.06,0.02,0.08,0.07,398.9,0.08,351.4,112.4,64.03,8.72,1.22,3.47,7.08,4.37,0,124.57,538.4,537.85,1076.25,0.05,536.55,136.02,400.53,OK,2.4,OK,54.49,
FCW 739,739,Joe Wright Reservoir,JOER_072821,JOER,7/28/2021,12:18,,NORM,,0.51,2.75,0,6.74,0.17,7.08,320.99,42.81,1.48,0.03,0.55,1.11,5.88,0.04,0.51,0.01,0,3.12,0,0.02,0.03,0.14,320.99,0.08,293.16,91.59,64.47,14.12,1.72,2.28,14.44,0.15,0,64.92,402.78,465.14,867.92,-7.19,463.34,79.51,383.83,OK,1.72,OK,43.55,
FCW 740,740,Chambers Lake Inflow,CBRI_072821,CBRI,7/28/2021,12:45,,NORM,,0.42,3,0,6.8,0.18,7.12,388.51,47.2,1.64,0.03,0.64,1.08,5.73,0.04,0.48,0.18,0,2.79,0.04,0.03,0.07,0.11,388.51,0.08,286.13,89.27,71.47,16.47,1.83,2.21,13.46,2.94,0,58.17,465.28,465.24,930.53,0,463.34,74.57,388.77,OK,-2.14,OK,46.19,
FCW 741,741,Barnes Meadow Reservoir Outflow,BMD_072821,BMD,7/28/2021,13:00,,NORM,,3.37,11,2.4,12.94,0.49,6.92,419.6,73.97,2.31,0.18,1.18,1.37,9.4,0.03,1.48,0.18,0,10.2,0.04,0.14,0.18,0.31,419.6,0.12,469.26,112.92,100.44,30.24,10.04,1.74,41.8,2.94,0,212.44,678.53,723.01,1401.53,-3.17,712.85,257.18,455.67,OK,0.47,OK,74.31,
FCW 742,742,Barnes Meadow Reservoir,BRNR_072821,BRNR,7/28/2021,13:25,,NORM,,2.98,3.75,2.8,12.21,0.33,7.1,446.51,75.4,2.41,0.03,1.19,1.54,9.3,0.03,1.69,0.15,0,10.85,0.03,0.03,0.06,0.27,446.51,0.08,464.22,126.56,104.92,30.51,1.79,1.57,47.75,2.44,0,226,724.27,728.08,1452.35,-0.26,726.22,276.19,450.03,OK,1.92,OK,76.84,
FCW 743,743,Chambers Lake,CBRR_072821,CBRR,7/28/2021,13:55,,NORM,,1.74,3.5,0,6.25,0.15,7.28,328.11,41.75,1.37,0.03,0.64,0.95,5.38,0.05,0.45,0.09,0,3.09,0.02,0.02,0.04,0.1,328.11,0.05,268.51,78.42,59.68,16.43,1.66,2.79,12.64,1.49,0,64.36,409.38,424.75,834.13,-1.84,423.04,78.48,344.56,OK,0.13,OK,41.8,
FCW 744,744,Chambers Lake Outflow,CHD_072821,CHD,7/28/2021,14:20,,NORM,,2.02,3.5,3,6.55,0.16,7.03,433.83,51.21,1.81,0.02,0.93,1.09,7.02,0.04,0.48,0.16,0,3.31,0.04,0.02,0.05,0.11,433.83,0.09,350.46,89.94,78.77,23.86,1.17,2.33,13.6,2.6,0,68.9,521.25,544.3,1065.55,-2.16,543.04,85.09,457.95,OK,3.76,OK,53.14,
FCW 808,808,Long Draw Reservoir Inflow,LNGI_080421,LNG1,8/4/2021,9:30,,NORM ,,0,75,,8.42,0.59,6.77,104.13,36.51,1.36,0.04,1.09,0.73,3.53,0.05,1.95,1.28,0,6.71,0.29,0.03,0.32,0.27,104.13,0.17,176.31,60.05,59.29,27.83,2.33,2.47,55.01,20.65,0,139.68,321.94,325.97,647.91,-0.62,323.47,215.33,108.14,OK,2.06,OK,37.26,
FCW 809,809,Long Draw Reservoir,LNGR_080421,LNGR,8/4/2021,9:50,,NORM ,,0.32,,,5.8,0.25,6.88,237.68,41.91,0.89,0.03,0.52,0.99,6.07,0.23,0.18,0.4,0,6.2,0.09,0.02,0.11,0.14,237.68,0.13,303.02,81.34,38.58,13.17,1.55,11.9,5.13,6.41,0,129.1,390.21,437.8,828.01,-5.75,436.11,140.64,295.47,OK,2.46,OK,42.94,
FCW 811,811,Long Draw Reservoir Outflow,LNGO_080421,LNGO,8/4/2021,10:11,,NORM ,,0.21,3,,5.69,0.31,6.88,195.97,36.31,0.94,0.05,0.52,0.77,4.68,0.26,0.16,0.56,0,7.44,0.13,0.04,0.17,0.15,195.97,0.13,233.42,63.14,41.02,13.27,2.83,13.69,4.46,9,0,154.85,377.96,353.81,731.77,3.3,350.85,168.31,182.54,OK,6.98,OK,38.84,
FCW 813,813,Peterson Reservoir Outflow,PTRO_080421,PTRO,8/4/2021,10:55,,NORM ,,0.13,4.5,,10.28,0.56,6.73,182,44.32,1.48,0.13,1.27,0.63,5.9,0.04,0.87,0.42,0,7.4,0.1,0.1,0.2,0.36,182,0.19,294.3,51.9,64.38,32.38,7.15,2.21,24.52,6.8,0,154.05,369.58,450.3,819.87,-9.85,442.96,185.37,257.59,OK,1.61,OK,45.04,
FCW 814,814,Peterson Reservoir Outflow,PTRO_080421,PTRO,8/4/2021,10:55,,DUPLICATE,,0.1,,,10.38,0.57,6.74,192.36,44.09,1.49,0.15,1.27,0.62,5.98,0.04,0.87,0.42,0,7.41,0.1,0.11,0.21,0.36,192.36,0.18,298.38,50.73,64.77,32.38,8.15,2.16,24.59,6.84,0,154.33,380.28,454.59,834.87,-8.9,446.26,185.76,260.5,OK,3.8,OK,45.77,
FCW 816,816,Peterson Reservoir,PTRR_080421,PTRR,8/4/2021,11:20,,NORM,,0.22,2.25,,9.76,0.5,6.79,186.58,35.13,1.56,0.12,1.27,0.62,4.05,0.05,0.77,0.17,0,6.89,0.04,0.09,0.13,0.37,186.58,0.16,202.32,50.67,67.94,32.48,6.38,2.42,21.62,2.7,0,143.42,356.75,359.95,716.7,-0.45,353.41,167.75,185.67,OK,11.69,OK,39.23,
FCW 817,817,Joe Wright Reservoir Inflow,JOEI_080421,JOEI,8/4/2021,12:07,,NORM,,0.27,2.5,,6.95,0.24,7.12,422.1,51.38,1.48,0.01,0.47,1.16,5.89,0.13,0.29,0.38,0,6.34,0.09,0.01,0.1,0.15,422.1,0.08,293.75,95.04,64.55,11.97,0.67,6.79,8.22,6.19,0,132.11,575.41,466.05,1041.47,10.5,465.31,146.52,318.79,OK,2.5,OK,52.66,
FCW 818,818,Joe Wright Reservoir,JOER_080421,JOER,8/4/2021,12:30,,NORM,,0.83,2.5,,6.85,0.17,7.04,324.09,40.82,1.39,0.01,0.62,0.9,5.25,0.09,0.47,0.02,0,3.83,0.01,0.01,0.02,0.16,324.09,0.09,261.8,74.06,60.42,15.91,0.72,4.9,13.32,0.37,0,79.78,422.46,413,835.46,1.13,412.19,93.48,318.71,OK,3.1,OK,42.08,
FCW 819,819,Chambers Lake Inflow,CBRI_080421,CBRI,8/4/2021,12:50,,NORM,,0.47,3.25,,8.46,0.24,7.11,367.5,39.08,1.77,0.01,0.78,0.9,4.78,0.07,0.63,0.1,0,3.34,0.02,0,0.03,0.21,367.5,0.08,238.66,74.12,76.86,19.92,0.33,3.47,17.69,1.68,0,69.59,459.93,409.98,869.91,5.74,409.57,88.96,320.61,OK,11.42,OK,43.54,
FCW 820,820,Barnes Meadow Reservoir Outflow,BMD_080421,BMD,8/4/2021,13:00,,NORM ,,3.75,11,2.51,13.22,0.59,6.96,432.13,68.75,2.32,0.25,1.2,1.1,7.19,0.05,1.72,0.3,0,10.41,0.07,0.19,0.26,0.33,432.13,0.11,358.91,90.29,100.96,30.59,13.91,2.42,48.4,4.82,0,216.72,704.5,594.77,1299.27,8.45,580.74,269.95,310.8,OK,0.86,OK,69.34,
FCW 821,821,Barnes Meadow Reservoir,BRNR_080421,BRNR,8/4/2021,13:40,,NORM,,3.09,5,,12.68,0.45,7.23,427.66,69.75,2.43,0.03,1.25,1.43,9.49,0.05,1.7,0.02,0,12.06,0,0.02,0.02,0.42,427.66,0.06,473.6,117.88,105.87,31.84,1.44,2.63,47.98,0.25,0,251.14,729.66,730.7,1460.35,-0.07,729.2,299.37,429.83,OK,11.62,OK,77.86,
FCW 822,822,Chambers Lake,CBRR_080421,CBRR,8/4/2021,14:10,,NORM,,2.53,3.75,,7.56,0.32,7.17,295.52,34.22,1.34,0.01,0.75,0.72,4.07,0.07,0.43,0.01,0,3.31,0,0.01,0.01,0.31,295.52,0.07,203.22,59.25,58.46,19.05,0.72,3.47,12.23,0.13,0,68.89,380.24,340.77,721.01,5.47,339.98,81.25,258.73,OK,6.23,OK,36.35,
FCW 823,823,Chambers Lake Outflow,CHD_080421,CHD,8/4/2021,14:35,,NORM,,1.72,4.75,,7.35,0.22,6.99,392.59,47.02,1.58,0.04,0.91,1.05,6.23,0.07,0.54,0.03,0,3.17,0.01,0.03,0.04,0.18,392.59,0.1,310.63,85.99,68.51,23.38,2.44,3.42,15.32,0.43,0,65.9,477.66,491.05,968.71,-1.38,488.5,81.65,406.85,OK,2.93,OK,48.4,
FCW 870,870,Long Draw Reservoir,LNGO_081121,LNGR,8/11/2021,9:23,,NORM ,,0.42,4,,5.67,0.26,6.99,265.52,43.88,0.95,0.03,0.56,1.11,6.85,0.23,0.17,0.44,0,6.45,0.1,0.02,0.12,0.13,265.52,0.1,341.92,91.26,41.41,14.4,1.72,12.32,4.88,7.16,0,134.33,424.21,490.8,915.01,-7.28,488.98,146.37,342.61,OK,7.73,OK,47.27,
FCW 871,871,Long Draw Reservoir Outflow,LNGO_081121,LNGO,8/11/2021,9:50,,NORM ,,0.38,2.5,,5.41,0.3,6.95,292.49,44.66,0.96,0.03,0.55,1.03,6.56,0.28,0.16,0.52,0,7,0.12,0.03,0.14,0.16,292.49,0.11,327.4,84.92,41.71,14.07,1.88,14.58,4.53,8.4,0,145.79,465.79,470.09,935.88,-0.46,468.1,158.72,309.38,OK,8.11,OK,48.28,
FCW 872,872,Peterson Reservoir Outflow,PTRO_081121,PTRO,8/11/2021,10:31,,NORM ,,0.61,4,,9.62,0.59,6.84,187.25,41.24,1.62,0.11,1.35,0.59,5.37,0.04,0.79,0.28,0,6.69,0.06,0.09,0.15,0.44,187.25,0.14,267.91,48.47,70.25,34.58,6.15,2.21,22.38,4.55,0,139.21,355.61,427.51,783.11,-9.18,421.21,166.14,255.07,OK,3.56,OK,42.71,
FCW 873,873,Peterson Reservoir,PTRR_081121,PTRR,8/11/2021,10:45,,NORM ,,0.47,2,,9.54,0.62,6.82,202.01,41.5,1.64,0.11,1.35,0.65,5.32,0.06,0.78,0.29,0,6.64,0.07,0.08,0.15,0.47,202.01,0.15,265.57,53.73,71.21,34.55,5.93,3.32,22.01,4.72,0,138.16,370.22,431.15,801.37,-7.6,425.06,164.9,260.16,OK,4.61,OK,43.42,
FCW 874,874,Joe Wright Reservoir Inflow,JOEI_081121,JOEI,8/11/2021,11:33,,NORM ,,0.21,3,,5.03,0.26,7.23,454.77,62.74,1.65,0.02,0.47,1.58,8.71,0.14,0.3,0.55,0,7.2,0.12,0.02,0.14,0.12,454.77,0.06,434.63,129.77,71.55,12.12,1.11,7.42,8.42,8.8,0,149.93,629.34,649.24,1278.58,-1.56,648.08,167.15,480.93,OK,3.42,OK,64.89,
FCW 875,875,Joe Wright Reservoir,JOER_081121,JOER,8/11/2021,12:02,,NORM ,,0.83,3,,6.55,0.29,7.16,376.78,45.27,1.46,0.02,0.65,1.27,6.38,0.1,0.45,0.01,0,3.87,0,0.01,0.02,0.27,376.78,0.07,318.36,104.83,63.68,16.5,1,5.21,12.77,0.13,0,80.53,475.41,504.44,979.85,-2.96,503.38,93.42,409.95,OK,8.17,OK,48.96,
FCW 876,876,Chambers Lake Inflow,CBRI_081121,CBRI,8/11/2021,12:29,,NORM ,,0.35,2.5,,6.77,0.38,7.18,385.95,48.79,1.79,0.04,0.78,1.22,6.56,0.09,0.57,0.06,0,3.24,0.01,0.03,0.04,0.33,385.95,0.07,327.45,100.56,77.9,19.9,2.22,4.58,16.21,0.96,0,67.49,475.19,528.09,1003.28,-5.27,525.8,84.66,441.14,OK,2.61,OK,50.06,
FCW 877,877,Barnes Meadow Reservoir Outflow,BMD_081121,BMD,8/11/2021,12:50,,NORM ,,8.58,15.5,,12.58,0.64,6.94,464.18,72.7,2.57,0.3,1.31,1.52,7.56,0.07,1.75,0.13,0,10,0.03,0.23,0.26,0.39,464.18,0.12,377.05,124.75,111.92,33.43,16.35,3.63,49.36,2.02,0,208.14,727.34,663.61,1390.95,4.58,647.14,259.52,387.62,OK,1.06,OK,73.47,
FCW 878,878,Barnes Meadow Reservoir,BRNR_081121,BRNR,8/11/2021,13:19,,NORM ,,4.81,4.5,,11.96,0.32,7.3,478.83,84.04,2.74,0.03,1.38,1.58,11.11,0.05,1.79,0.01,0,11.61,0,0.02,0.03,0.29,478.83,0.05,554.49,129.93,119.1,35.19,1.61,2.37,50.42,0.24,0,241.74,773.6,840.37,1613.97,-4.14,838.71,292.4,546.31,OK,1.46,OK,85.27,
FCW 879,879,Chambers Lake,CBRR_081121,CBRR,8/11/2021,14:00,,NORM ,,2.47,4,,6.61,0.2,7.23,352.37,46.78,1.54,0.02,0.88,1.03,6.34,0.06,0.55,0.03,0,3.41,0.01,0.02,0.03,0.18,352.37,0.06,316.37,84.59,66.99,22.61,1.33,2.89,15.54,0.47,0,71.06,442.35,491.94,934.29,-5.31,490.55,87.08,403.48,OK,0.56,OK,47.04,
FCW 880,880,Chambers Lake Outflow,CHD_081121,CHD,8/11/2021,14:25,,NORM ,,1.91,3.5,,6.57,0.18,7.17,376.66,47.69,1.51,0.02,0.85,1.05,6.21,0.08,0.47,0.03,0,3.4,0.01,0.02,0.02,0.16,376.66,0.07,309.98,86.65,65.72,21.79,1.28,3.95,13.24,0.45,0,70.77,465.07,485.49,950.56,-2.15,484.14,84.46,399.69,OK,-0.31,OK,47.54,
FCW 887,887,Long Draw Reservoir,LNGR_081821,LNGR,8/18/2021,9:30,,NORM,,0.79,3.75,,5.76,0.31,6.96,244.19,44.94,0.99,0.02,0.58,1.09,7.02,0.27,0.22,0.51,0,7.09,0.12,0.02,0.13,0.17,244.19,0.11,350.3,89.78,42.85,14.81,1.28,14.37,6.15,8.27,0,147.59,420.57,499.11,919.69,-8.54,497.73,162.01,335.72,OK,6.58,OK,47.9,
FCW 888,888,Long Draw Reservoir Outflow,LNGO_081821,LNGO,8/18/2021,10:00,,NORM,,0.49,3.25,,5.49,0.27,6.96,365.62,55.32,1.01,0.04,0.57,1.09,7.93,0.28,0.18,0.53,0,7.4,0.12,0.03,0.15,0.12,365.62,0.11,395.56,89.78,43.72,14.68,2.33,14.84,5.01,8.51,0,154.06,548.04,546.17,1094.21,0.17,543.73,167.58,376.15,OK,1.32,OK,56.05,
FCW 889,889,Long Draw Reservoir Outflow,LNGO_081821,LNGO,8/18/2021,10:00,,DUPLICATE,,0.51,3,,5.43,0.29,6.98,368.97,55.03,1.02,0.04,0.6,1.07,7.89,0.29,0.2,0.58,0,7.5,0.13,0.03,0.16,0.13,368.97,0.1,393.56,88.05,44.32,15.29,2.27,15.47,5.51,9.37,0,156.13,555.45,543.61,1099.06,1.08,541.23,171.01,370.22,OK,2.35,OK,56.33,
FCW 890,890,Peterson Reservoir Outflow,PTRO_081821,PTRO,8/18/2021,10:45,,NORM,,1.06,3.5,,9.51,0.44,6.96,206.72,43.22,1.71,0.06,1.4,0.62,5.9,0.07,0.82,0.32,0,6.71,0.07,0.05,0.12,0.32,206.72,0.11,294.41,51.1,74.55,35.78,3.49,3.79,23.05,5.09,0,139.8,378.46,459.45,837.91,-9.67,455.85,167.95,287.9,OK,4.76,OK,45.28,
FCW 891,891,Peterson Reservoir,PTRR_081821,PTRR,8/18/2021,11:30,,NORM,,1.5,2,,9.41,0.46,6.5,217.31,42.73,1.69,0.08,1.38,0.56,5.5,0.06,0.82,0.53,0,6.97,0.12,0.06,0.18,0.27,217.31,0.32,274.5,45.92,73.64,35.4,4.38,3.32,23.19,8.61,0,145.09,397.51,434.15,831.66,-4.41,429.46,176.88,252.57,OK,5.72,OK,45.17,
FCW 892,892,Joe Wright Reservoir Inflow,JOEI_081821,JOEI,8/18/2021,12:02,,NORM ,,0.37,2.5,,5.36,0.24,7.18,480.29,68.19,1.8,0.05,0.55,1.69,9.15,0.17,0.32,0.59,0,7.9,0.13,0.04,0.17,0.07,480.29,0.07,456.39,138.9,78.25,14.02,2.66,8.68,9.11,9.59,0,164.41,672.09,690.28,1362.37,-1.34,687.56,183.11,504.44,OK,1.59,OK,69.28,
FCW 893,893,Joe Wright Reservoir,JOER_081821,JOER,8/18/2021,12:12,,NORM,,1.19,4.35,,6.61,0.18,6.98,394.72,49.08,1.49,0.04,0.67,1.31,6.55,0.12,0.45,0.02,0,4.02,0,0.03,0.03,0.15,394.72,0.1,326.85,108.13,64.85,17.03,2.11,6.05,12.6,0.3,0,83.8,497.47,519.07,1016.54,-2.12,516.86,96.7,420.16,OK,3.43,OK,50.76,
FCW 894,894,Chambers Lake Inflow,CBRI_081821,CBRI,8/18/2021,12:26,,NORM ,,0.47,3.25,,7.11,0.15,7.12,443.48,53.35,2.06,0.07,0.86,1.28,7.17,0.06,0.61,0.05,0,3.3,0.01,0.05,0.06,0.09,443.48,0.08,357.73,105.66,89.47,21.92,3.71,3.21,17.26,0.79,0,68.77,533.5,578.58,1112.08,-4.05,574.79,86.81,487.97,OK,3.78,OK,55.37,
FCW 895,895,Barnes Meadow Reservoir Outflow,BMD_081821,BMD,8/18/2021,12:35,,NORM,,9.42,14,,7.09,0.55,6.67,446.91,63.94,2.44,0.36,1.27,1.48,7.07,0.06,1.75,0.04,0,9.32,0.01,0.28,0.28,0.26,446.91,0.21,352.76,121.87,106.26,32.53,19.68,3.21,49.28,0.59,0,194.11,694.1,633.32,1327.42,4.58,613.43,243.98,369.45,OK,9.72,OK,70.15,
FCW 896,896,Barnes Meadow Reservoir,BRNR_081821,BRNR,8/18/2021,12:55,,NORM ,,2.29,4,,13.56,0.39,6.97,455.52,80.48,2.65,0.06,1.36,1.58,9.48,0.04,1.84,0.01,0,11.22,0,0.05,0.05,0.34,455.52,0.11,472.82,129.6,115.23,34.66,3.55,2.32,51.9,0.13,0,233.58,743.44,755.96,1499.4,-0.83,752.3,285.61,466.7,OK,-1.28,OK,79.45,
FCW 897,897,Chambers Lake,CBRR_081821,CBRR,8/18/2021,13:20,,NORM ,,2.2,4.25,,6.7,0.24,6.94,321.09,39.55,1.5,0.06,0.83,1.02,4.23,0.06,0.46,0.01,0,3.1,0,0.04,0.05,0.19,321.09,0.11,211.01,83.93,65.16,21.2,3.16,3.16,12.85,0.13,0,64.48,401.7,384.58,786.28,2.18,381.31,77.46,303.85,OK,-0.29,OK,39.43,
FCW 898,898,Chambers Lake Outflow,CHD_081821,CHD,8/18/2021,13:40,,NORM,,1.76,3,,6.72,0.19,6.98,376.8,45.12,1.55,0.04,0.85,1.07,5.61,0.05,0.46,0.01,0,3.21,0,0.03,0.04,0.16,376.8,0.11,280.05,88.29,67.2,21.66,2.38,2.74,13.04,0.12,0,66.75,459.44,459.71,919.15,-0.03,457.22,79.9,377.31,OK,1.74,OK,45.9,
FCW 959,959,Long Draw Reservoir,LNGR_082521,LNGR,8/25/2021,9:20,,NORM,13,0.47,3.5,,5.65,0.27,7.03,282.06,50.84,1.1,0.05,0.57,0.97,6.67,0.26,0.19,0.54,0.04,7.57,0.12,0.04,0.16,0.11,282.06,0.09,332.63,80.07,47.67,14.68,2.72,13.63,5.43,8.7,0.39,157.52,467.73,477.86,945.59,-1.07,475.05,171.64,303.41,OK,-3.24,OK,49.19,
FCW 960,960,Long Draw Reservoir Outflow,LNGO_082521,LNGO,8/25/2021,9:50,,NORM,14,0.66,3.75,,5.56,0.28,6.89,344.07,52.14,1.05,0.07,0.58,0.95,7.56,0.25,0.16,0.54,0,7.52,0.12,0.05,0.17,0.11,344.07,0.13,377,78.46,45.85,14.76,3.66,13.37,4.49,8.71,0,156.47,527.11,519.85,1046.96,0.69,516.06,169.67,346.39,OK,3.52,OK,53.98,
FCW 961,961,Peterson Reservoir Outflow,PTRO_082521,PTRO,8/25/2021,10:50,,NORM,14,2.69,3.5,,9.31,0.38,6.81,193.7,43.89,1.76,0.08,1.37,0.43,5.97,0.02,0.93,0.41,0,6.83,0.09,0.07,0.16,0.22,193.7,0.16,297.73,35.01,76.51,35.09,4.66,1,26.28,6.65,0,142.19,369.82,449.16,818.98,-9.69,444.35,175.12,269.23,OK,2.1,OK,44.81,
FCW 962,962,Peterson Reservoir,PTRR_082521,PTRR,8/25/2021,11:20,,NORM,14.5,3.03,1.75,,9.57,0.42,6.73,210.53,41.41,1.72,0.06,1.39,0.42,5.18,0.03,0.97,0.44,0,7.43,0.1,0.04,0.14,0.28,210.53,0.19,258.43,34.52,74.86,35.42,3.1,1.53,27.24,7.13,0,154.76,401.18,406.53,807.71,-0.66,403.24,189.12,214.11,OK,7.01,OK,44.32,
FCW 963,963,Joe Wright Reservoir Inflow,JOEI_0782521,JOEI,8/25/2021,12:10,,NORM,11,0.23,3,,5.02,0.23,7.26,482.02,67.53,1.81,0.04,0.55,1.6,8.79,0.14,0.31,0.71,0,7.94,0.16,0.03,0.19,0.04,482.02,0.06,438.6,131.62,78.51,14.12,2,7.26,8.72,11.46,0,165.4,674.87,664.9,1339.77,0.74,662.85,185.59,477.26,OK,1.04,OK,68.23,
FCW 964,964,Joe Wright Reservoir Inflow,JOEI_0782521,JOEI,8/25/2021,12:10,,DUPLICATE,11,0.23,3.25,,5.21,0.26,7.28,466.49,65.75,1.8,0.04,0.54,1.51,8.83,0.1,0.31,0.71,0,7.92,0.16,0.03,0.19,0.06,466.49,0.05,440.44,123.88,78.3,13.81,2.33,5.32,8.61,11.37,0,164.89,656.69,658.82,1315.5,-0.16,656.44,184.88,471.56,OK,2.26,OK,67.23,
FCW 965,965,Joe Wright Reservoir,JOER_082521,JOER,8/25/2021,12:45,,NORM,13,1.51,2.5,,6.3,0.2,7.16,381.23,48.45,1.44,0.03,0.6,1.21,6.3,0.09,0.47,0.03,0,3.99,0.01,0.02,0.03,0.17,381.23,0.07,314.47,99.49,62.77,15.42,1.77,4.84,13.31,0.5,0,82.99,482.87,493.99,976.86,-1.14,492.15,96.81,395.34,OK,0.9,OK,48.89,
FCW 966,966,Chambers Lake Inflow,CBRI_082521,CBRI,8/25/2021,13:05,,NORM,10,0.45,3.5,,7.02,0.18,7.21,456.88,54.51,1.96,0.04,0.82,1.01,7.33,0.05,0.65,0.12,0,3.46,0.03,0.03,0.06,0.12,456.88,0.06,365.87,83.29,85.05,21.02,2.4,2.86,18.46,1.97,0,71.94,552.1,557.7,1109.8,-0.5,555.23,92.36,462.87,OK,1.55,OK,55.35,
