ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 444,444,Peterson Reservoir,PTRR_060221,PTRR,6/2/2021,11:16,,NORM,,1.54,,0,7.02,0.65,6.82,169.77,41.8,1.49,0.11,1.35,0.82,4.97,0.03,0.88,0.32,0,7.85,0.07,0.08,0.16,0.49,169.77,0.15,248,67.39,64.9,34.4,5.88,1.37,24.87,5.21,0,163.49,364.71,420.72,785.43,-7.13,414.7,193.57,221.13,OK,3.97,OK,43.46,
FCW 445,445,Joe Wright Reservoir Inflow,JOEI_060221,JOEI,6/2/2021,12:05,,NORM,,0.14,,1.77,4.37,0.36,6.99,275.59,32.21,1.22,0.02,0.4,1.16,4.2,0.02,1.02,0.02,0,1.35,0.01,0.01,0.02,0.34,275.59,0.1,209.73,95.45,52.94,10.26,0.89,1.21,28.86,0.36,0,28.21,334.23,369.37,703.6,-4.99,368.38,57.43,310.94,OK,8.72,OK,35.02,
FCW 446,446,Joe Wright Reservoir,JOER_060221,JOER,6/2/2021,12:25,,NORM,,0.37,,0,3.05,0.39,7.01,379.11,43.77,1.41,0.05,0.63,1.27,5.85,0.06,0.72,0.1,0,3.6,0.02,0.04,0.06,0.33,379.11,0.1,291.82,104.67,61.16,16.09,2.55,3.11,20.44,1.6,0,75.01,479.26,476.38,955.64,0.3,473.73,97.05,376.68,OK,9.54,OK,47.95,
FCW 447,447,Chambers Lake Inflow,CBRI_060221,CBRI,6/2/2021,12:51,,NORM,,0.21,,1.79,4.23,0.46,7.12,321.42,46.12,2.06,0.02,0.58,0.95,6.37,0.06,0.48,0.38,0,3.01,0.09,0.02,0.1,0.36,321.42,0.08,317.71,78.42,89.69,14.81,1.22,3.21,13.44,6.14,0,62.69,406.9,501.93,908.83,-10.46,500.64,82.27,418.36,OK,-0.95,OK,45.68,
FCW 448,448,Barnes Meadow Reservoir Outflow,BMD_060221,BMD,6/2/2021,13:30,,NORM,,1.04,,7.38,7.38,0.55,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59,0.04,0.04,0.08,0.47,355.03,0.07,476.55,124.17,101.48,31.59,3.1,1.58,39.83,2.61,0,241.33,640.37,736.96,1377.33,-7.01,733.79,283.76,450.02,OK,6.09,OK,73.89,
FCW 449,449,Barnes Meadow Reservoir,BRNR_060221,BRNR,6/2/2021,13:53,,NORM,,1.45,,1.79,7.34,0.46,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42,0.01,0.04,0.04,0.42,386.18,0.06,489.37,124.01,100.17,31.43,2.72,1.63,40.51,0.37,0,237.68,666.37,747.77,1414.13,-5.76,744.99,278.56,466.43,OK,10.32,OK,75.43,
FCW 450,450,Chambers Lake Outflow,CHD_060221,CHD,6/2/2021,14:15,Sample taken directly upstream of Barnes Diversions.,NORM,,2.1,,0,3.73,0.45,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65,0.06,0.02,0.08,0.37,378.79,0.06,359.78,117.92,73.64,25.7,1.33,2.11,25.95,4.58,0,138.36,549.77,578.43,1128.21,-2.54,577.04,168.88,408.16,OK,-0.17,OK,58.42,
FCW 451,451,Chambers Lake Outflow,CHD_060221,CHD,6/2/2021,14:15,Sample taken directly upstream of Barnes Diversions.,DUPLICATE,,2.01,,0,3.67,0.42,7.22,373.8,55.85,1.7,0.03,1,1.43,7.17,0.04,0.93,0.29,0,6.58,0.07,0.02,0.09,0.33,373.8,0.06,357.58,117.51,74.03,25.6,1.44,2.11,26.1,4.67,0,137.03,543.7,576.23,1119.93,-2.9,574.73,167.79,406.93,OK,3.87,OK,58.01,
FCW 452,452,Chambers Lake,CBRR_060221,CBRR,6/2/2021,14:40,,NORM,,2.64,,3.72,3.9,0.42,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47,0.04,0.03,0.07,0.35,349.32,0.06,355.99,113.89,74.38,25.58,1.94,2.11,25.77,3.12,0,134.66,514.97,571.84,1086.81,-5.23,569.83,163.55,406.28,OK,3.67,OK,56.44,
FCW 453,453,Chambers Lake Inflow,CBRI_060721,CBRI,6/7/2021,11:25,NO TSS,NORM,,,5,,3.99,0.36,6.81,304.73,44.7,1.42,0.05,0.62,1.49,5.85,0.06,0.64,0.35,0,3.39,0.08,0.04,0.12,0.24,304.73,0.15,292.12,122.28,61.94,15.93,2.77,2.89,18.01,5.64,0,70.49,401.77,495.2,896.96,-10.42,492.27,94.14,398.13,OK,1.57,OK,45.4,
FCW 454,454,Chambers Lake Outflow,CHD_060721,CHD,6/7/2021,11:45,NO TSS,NORM,,,3.75,,3.88,0.46,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84,0.06,0.06,0.12,0.34,375.91,0.12,313.32,102.2,72.99,24.04,4.55,2.21,25.59,4,0,121.57,529.29,517.22,1046.51,1.15,512.56,151.17,361.38,OK,5.41,OK,53.99,
FCW 455,455,Barnes Meadow Reservoir Outflow,BMD_060721,BMD,6/7/2021,11:55,NO TSS,NORM,,,4,,7.42,0.54,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39,0.02,0.05,0.07,0.47,395.63,0.14,508.58,119.4,99.17,29.87,3.38,1.68,40.5,1.65,0,237.2,676.67,760.55,1437.22,-5.84,757.03,279.35,477.68,OK,1.46,OK,76.6,
